Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,position-control latency time,NAV,11,250,56.77,30.5,160,9084
Session 1,ControlTask time,ERROR,0,89,20.21,13.0,352,7113
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,352,0
Session 1,GNSS checkUblox time,ERROR,1,102,1.44,1.0,260,375
Session 1,GNSSTask time,ERROR,0,328,39.3,19.0,316,12419
Session 1,pushRawData time,ERROR,23,70,28.03,26.0,35,981
Session 1,GGATask time,ERROR,4,17,5.57,6.0,69,384
Session 1,GNSS checkCallbacks time,ERROR,1,1,1.0,1.0,33,33
Session 1,NavigationTask time,ERROR,0,32,0.21,0.0,193,41
