Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,788,0
Session 1,position-control latency time,NAV,13,434,76.82,30.0,788,60534
Session 1,ControlTask time,ERROR,0,128,48.27,48.0,787,37987
Session 1,NavigationTask time,ERROR,0,23,1.75,0.0,16,28
Session 1,GNSS checkCallbacks time,ERROR,1,5,1.22,1.0,533,650
Session 1,GNSS checkUblox time,ERROR,1,182,53.3,77.5,476,25369
Session 1,GNSSTask time,ERROR,2,397,115.08,99.0,476,54778
Session 1,GGATask time,ERROR,5,10,7.37,7.0,60,442
Session 1,pushRawData time,ERROR,24,36,28.22,28.0,64,1806
