Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,462,0
Session 1,position-control latency time,NAV,11,431,63.4,35.0,415,26313
Session 1,ControlTask time,ERROR,0,97,39.97,44.0,461,18427
Session 1,NavigationTask time,ERROR,0,80,1.73,0.0,90,156
Session 1,GNSS checkUblox time,ERROR,1,233,15.96,2.0,410,6544
Session 1,GNSSTask time,ERROR,0,351,55.93,30.0,441,24664
Session 1,GGATask time,ERROR,3,7,5.12,5.0,42,215
Session 1,GNSS checkCallbacks time,ERROR,1,1,1.0,1.0,194,194
Session 1,pushRawData time,ERROR,11,93,26.2,23.0,46,1205
