Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,1639,0
Session 1,ControlTask time,ERROR,0,1,0.02,0.0,1639,38
Session 1,GNSS checkCallbacks time,ERROR,12,77,18.38,13.0,1295,23807
Session 1,GNSS checkUblox time,ERROR,1,414,50.21,52.0,1031,51763
Session 1,pushRawData time,NAV,0,2,0.76,1.0,765,585
Session 1,processRTKConnection time,NAV,0,12,5.72,6.0,765,4374
Session 1,GNSSTask time,ERROR,12,495,100.51,103.0,1366,137292
Session 1,GGATask time,ERROR,5,79,48.95,47.0,328,16054
