
----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message
1073,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
6579,ERROR,NavTask,NavigationTask time, 0
6620,ERROR,GNSSTask,GNSS checkUblox time, 1
6676,ERROR,ControlTask,ControlTask time, 0
6679,ERROR,NavTask,NavigationTask time, 0
6721,ERROR,GNSSTask,GNSS checkUblox time, 1
6776,ERROR,ControlTask,ControlTask time, 0
6779,ERROR,NavTask,NavigationTask time, 0
6822,ERROR,GNSSTask,GNSS checkUblox time, 1
6876,ERROR,ControlTask,ControlTask time, 0
6879,ERROR,NavTask,NavigationTask time, 0
6881,ERROR,GGATask,GGATask time, 1
6923,ERROR,GNSSTask,GNSS checkUblox time, 1
6976,ERROR,ControlTask,ControlTask time, 0
6979,ERROR,NavTask,NavigationTask time, 0
7024,ERROR,GNSSTask,GNSS checkUblox time, 1
7076,ERROR,ControlTask,ControlTask time, 0
7079,ERROR,NavTask,NavigationTask time, 0
7125,ERROR,GNSSTask,GNSS checkUblox time, 1
7176,ERROR,ControlTask,ControlTask time, 0
7179,ERROR,NavTask,NavigationTask time, 0
7226,ERROR,GNSSTask,GNSS checkUblox time, 1
7276,ERROR,ControlTask,ControlTask time, 0
7279,ERROR,NavTask,NavigationTask time, 0
7327,ERROR,GNSSTask,GNSS checkUblox time, 1
7376,ERROR,ControlTask,ControlTask time, 0
7379,ERROR,NavTask,NavigationTask time, 0
7428,ERROR,GNSSTask,GNSS checkUblox time, 1
7476,ERROR,ControlTask,ControlTask time, 0
7479,ERROR,NavTask,NavigationTask time, 0
7529,ERROR,GNSSTask,GNSS checkUblox time, 1
7576,ERROR,ControlTask,ControlTask time, 0
7579,ERROR,NavTask,NavigationTask time, 0
7630,ERROR,GNSSTask,GNSS checkUblox time, 1
7676,ERROR,ControlTask,ControlTask time, 0
7679,ERROR,NavTask,NavigationTask time, 0
7731,ERROR,GNSSTask,GNSS checkUblox time, 1
7776,ERROR,ControlTask,ControlTask time, 0
7779,ERROR,NavTask,NavigationTask time, 0
7832,ERROR,GNSSTask,GNSS checkUblox time, 1
7876,ERROR,ControlTask,ControlTask time, 0
7879,ERROR,NavTask,NavigationTask time, 0
7881,ERROR,GGATask,GGATask time, 1
7933,ERROR,GNSSTask,GNSS checkUblox time, 1
7976,ERROR,ControlTask,ControlTask time, 0
7979,ERROR,NavTask,NavigationTask time, 0
8034,ERROR,GNSSTask,GNSS checkUblox time, 1
8076,ERROR,ControlTask,ControlTask time, 0
8079,ERROR,NavTask,NavigationTask time, 0
8135,ERROR,GNSSTask,GNSS checkUblox time, 1
8176,ERROR,ControlTask,ControlTask time, 0
8179,ERROR,NavTask,NavigationTask time, 0
8236,ERROR,GNSSTask,GNSS checkUblox time, 1
8276,ERROR,ControlTask,ControlTask time, 0
8279,ERROR,NavTask,NavigationTask time, 0
8337,ERROR,GNSSTask,GNSS checkUblox time, 1
8376,ERROR,ControlTask,ControlTask time, 0
8379,ERROR,NavTask,NavigationTask time, 0
8438,ERROR,GNSSTask,GNSS checkUblox time, 1
