Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,position-control latency,ERROR,1,221,51.57,54.0,395,20370
Session 1,ControlTask,ERROR,0,16,3.9,2.0,653,2546
Session 1,GGATask,ERROR,4,6,5.45,6.0,33,180
Session 1,GNSSTask,ERROR,1,154,32.88,27.0,576,18941
Session 1,NavigationTask,ERROR,0,1,0.41,0.0,27,11
Session 1,pushRawData,ERROR,18,69,22.89,21.0,35,801
Session 1,GNSS checkCallbacks,ERROR,1,1,1.0,1.0,125,125
Session 1,GNSS checkUblox,ERROR,1,55,6.75,2.0,558,3764
