
----- New Logging Session Started -----
Timestamp,Level,Task,Message
1972,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
1972,DEBUG,loopTask,Connecting to WiFi network: Galaxy XCover FieldPro8858
2571,DEBUG,loopTask,Connected to WiFi: Galaxy XCover FieldPro8858, IP: 192.168.162.141
2572,DEBUG,loopTask,Navigation system initialized successfully
2572,DEBUG,loopTask,currentLogLevel: DEBUG
3573,DEBUG,loopTask,STARTING initRTOS
3775,DEBUG,loopTask,Servos initialized
3775,DEBUG,GNSSTask,STARTING initializeGNSS
3777,DEBUG,WebSocketTask,sendGPSData time, 1
3778,DEBUG,loopTask,RTOS tasks created
3988,DEBUG,GNSSTask,GNSS module found over SPI!
4280,DEBUG,WebSocketTask,sendGPSData time, 0
4781,DEBUG,WebSocketTask,sendGPSData time, 0
5001,NAV,WebSocketTask,WebSocket disconnected. Will attempt to maintain navigation state.
5282,DEBUG,WebSocketTask,sendGPSData time, 0
5763,DEBUG,GNSSTask,IMU sensor fusion disabled.
5783,DEBUG,WebSocketTask,sendGPSData time, 0
6113,DEBUG,GNSSTask,connectionResult = 200, macorsrtk.massdot.state.ma.us
6185,DEBUG,GNSSTask,pushRawData time, 13
6210,DEBUG,GNSSTask,pushRawData time, 2
6285,DEBUG,WebSocketTask,sendGPSData time, 0
6786,DEBUG,WebSocketTask,sendGPSData time, 0
6909,DEBUG,GNSSTask,pushRawData time, 5
7288,DEBUG,WebSocketTask,sendGPSData time, 0
7789,DEBUG,WebSocketTask,sendGPSData time, 0
7914,DEBUG,GNSSTask,pushRawData time, 5
8291,DEBUG,WebSocketTask,sendGPSData time, 0
8792,DEBUG,WebSocketTask,sendGPSData time, 0
8915,DEBUG,GNSSTask,pushRawData time, 9
9294,DEBUG,WebSocketTask,sendGPSData time, 0
9795,DEBUG,WebSocketTask,sendGPSData time, 0
10018,DEBUG,GNSSTask,pushRawData time, 8
10309,DEBUG,WebSocketTask,sendGPSData time, 0
10441,DEBUG,GNSSTask,pushRawData time, 12
10537,DEBUG,GNSSTask,pushRawData time, 13
10600,DEBUG,GNSSTask,pushRawData time, 4
10812,DEBUG,WebSocketTask,sendGPSData time, 0
10831,DEBUG,GNSSTask,pushRawData time, 12
11318,DEBUG,WebSocketTask,sendGPSData time, 0
11819,DEBUG,WebSocketTask,sendGPSData time, 0
12015,DEBUG,GNSSTask,pushRawData time, 9
12322,DEBUG,WebSocketTask,sendGPSData time, 0
12819,DEBUG,GNSSTask,pushRawData time, 9
12823,DEBUG,WebSocketTask,sendGPSData time, 0
13324,DEBUG,WebSocketTask,sendGPSData time, 0
13827,DEBUG,WebSocketTask,sendGPSData time, 1
13918,DEBUG,GNSSTask,pushRawData time, 9
14328,DEBUG,WebSocketTask,sendGPSData time, 0
14627,DEBUG,async_tcp,sendGPSData time, 2
14716,DEBUG,GNSSTask,pushRawData time, 9
14836,DEBUG,WebSocketTask,sendGPSData time, 1
15012,NAV,WebSocketTask,WebSocket reconnected after disconnection. Sending status refresh.
15019,DEBUG,WebSocketTask,sendGPSData time, 7
15341,DEBUG,WebSocketTask,sendGPSData time, 2
15838,DEBUG,WebSocketTask,sendGPSData time, 0
15919,DEBUG,GNSSTask,pushRawData time, 10
16342,DEBUG,WebSocketTask,sendGPSData time, 0
16843,DEBUG,WebSocketTask,sendGPSData time, 1
16916,DEBUG,GNSSTask,pushRawData time, 9
17350,DEBUG,WebSocketTask,sendGPSData time, 0
17856,DEBUG,WebSocketTask,sendGPSData time, 1
17920,DEBUG,GNSSTask,pushRawData time, 9
18364,DEBUG,WebSocketTask,sendGPSData time, 0
18874,DEBUG,WebSocketTask,sendGPSData time, 1
19016,DEBUG,GNSSTask,pushRawData time, 9
19381,DEBUG,WebSocketTask,sendGPSData time, 0
19891,DEBUG,WebSocketTask,sendGPSData time, 1
19922,DEBUG,GNSSTask,pushRawData time, 10
20389,DEBUG,WebSocketTask,sendGPSData time, 1
20896,DEBUG,WebSocketTask,sendGPSData time, 2
21017,DEBUG,GNSSTask,pushRawData time, 10
21405,DEBUG,WebSocketTask,sendGPSData time, 0
21909,DEBUG,WebSocketTask,sendGPSData time, 1
21922,DEBUG,GNSSTask,pushRawData time, 10
22410,DEBUG,WebSocketTask,sendGPSData time, 1
22918,DEBUG,WebSocketTask,sendGPSData time, 0
23019,DEBUG,GNSSTask,pushRawData time, 10
23426,DEBUG,WebSocketTask,sendGPSData time, 0
23919,DEBUG,GNSSTask,pushRawData time, 10
23934,DEBUG,WebSocketTask,sendGPSData time, 1
24441,DEBUG,WebSocketTask,sendGPSData time, 0
24917,DEBUG,GNSSTask,pushRawData time, 10
24942,DEBUG,WebSocketTask,sendGPSData time, 1
25446,DEBUG,WebSocketTask,sendGPSData time, 0
25921,DEBUG,GNSSTask,pushRawData time, 10
25946,DEBUG,WebSocketTask,sendGPSData time, 1
26450,DEBUG,WebSocketTask,sendGPSData time, 1
26948,DEBUG,WebSocketTask,sendGPSData time, 1
27018,DEBUG,GNSSTask,pushRawData time, 9
27456,DEBUG,WebSocketTask,sendGPSData time, 0
27922,DEBUG,GNSSTask,pushRawData time, 10
27966,DEBUG,WebSocketTask,sendGPSData time, 2
28469,DEBUG,WebSocketTask,sendGPSData time, 1
28976,DEBUG,WebSocketTask,sendGPSData time, 0
29019,DEBUG,GNSSTask,pushRawData time, 11
29477,DEBUG,WebSocketTask,sendGPSData time, 0
29920,DEBUG,GNSSTask,pushRawData time, 10
29981,DEBUG,WebSocketTask,sendGPSData time, 0
30487,DEBUG,WebSocketTask,sendGPSData time, 1
30585,ERROR,GNSSTask,------------------------------------------
30585,ERROR,GNSSTask,GNSS SYS TIME: 2025-04-01 21:16 (UTC)
30585,ERROR,GNSSTask,------------------------------------------
30992,DEBUG,WebSocketTask,sendGPSData time, 8
31116,DEBUG,GNSSTask,pushRawData time, 5
31488,DEBUG,WebSocketTask,sendGPSData time, 3
31917,DEBUG,GNSSTask,pushRawData time, 5
31992,DEBUG,WebSocketTask,sendGPSData time, 1
32495,DEBUG,WebSocketTask,sendGPSData time, 1
32924,DEBUG,GNSSTask,pushRawData time, 11
33005,DEBUG,WebSocketTask,sendGPSData time, 2
33504,DEBUG,WebSocketTask,sendGPSData time, 2
33923,DEBUG,GNSSTask,pushRawData time, 11
34004,DEBUG,WebSocketTask,sendGPSData time, 3
34512,DEBUG,WebSocketTask,sendGPSData time, 2
34921,DEBUG,GNSSTask,pushRawData time, 10
35016,DEBUG,WebSocketTask,sendGPSData time, 2
35519,DEBUG,WebSocketTask,sendGPSData time, 1
35924,DEBUG,GNSSTask,pushRawData time, 11
36024,DEBUG,WebSocketTask,sendGPSData time, 1
36526,DEBUG,WebSocketTask,sendGPSData time, 1
37023,DEBUG,GNSSTask,pushRawData time, 11
37033,DEBUG,WebSocketTask,sendGPSData time, 1
37543,DEBUG,WebSocketTask,sendGPSData time, 1
37926,DEBUG,GNSSTask,pushRawData time, 12
38057,DEBUG,WebSocketTask,sendGPSData time, 5
38562,DEBUG,WebSocketTask,sendGPSData time, 1
38821,DEBUG,GNSSTask,pushRawData time, 11
39066,DEBUG,WebSocketTask,sendGPSData time, 1
39567,DEBUG,WebSocketTask,sendGPSData time, 1
39918,DEBUG,GNSSTask,pushRawData time, 4
40076,DEBUG,WebSocketTask,sendGPSData time, 7
40545,DEBUG,GNSSTask,pushRawData time, 16
40570,DEBUG,WebSocketTask,sendGPSData time, 1
40645,DEBUG,GNSSTask,pushRawData time, 16
40694,DEBUG,GNSSTask,pushRawData time, 2
40921,DEBUG,GNSSTask,pushRawData time, 5
40995,DEBUG,GNSSTask,pushRawData time, 1
41071,DEBUG,WebSocketTask,sendGPSData time, 1
41576,DEBUG,WebSocketTask,sendGPSData time, 1
41918,DEBUG,GNSSTask,pushRawData time, 4
42083,DEBUG,WebSocketTask,sendGPSData time, 6
42582,DEBUG,WebSocketTask,sendGPSData time, 1
42918,DEBUG,GNSSTask,pushRawData time, 5
43082,DEBUG,WebSocketTask,sendGPSData time, 1
43591,DEBUG,WebSocketTask,sendGPSData time, 1
43924,DEBUG,GNSSTask,pushRawData time, 10
44101,DEBUG,WebSocketTask,sendGPSData time, 7
44605,DEBUG,WebSocketTask,sendGPSData time, 1
44815,DEBUG,GNSSTask,pushRawData time, 5
45107,DEBUG,WebSocketTask,sendGPSData time, 1
45608,DEBUG,WebSocketTask,sendGPSData time, 1
46014,DEBUG,GNSSTask,pushRawData time, 5
46114,DEBUG,WebSocketTask,sendGPSData time, 1
46618,DEBUG,WebSocketTask,sendGPSData time, 1
47126,DEBUG,WebSocketTask,sendGPSData time, 1
47415,DEBUG,GNSSTask,pushRawData time, 4
47629,DEBUG,WebSocketTask,sendGPSData time, 1
47921,DEBUG,GNSSTask,pushRawData time, 5
48133,DEBUG,WebSocketTask,sendGPSData time, 1
48642,DEBUG,WebSocketTask,sendGPSData time, 1
48817,DEBUG,GNSSTask,pushRawData time, 5
49144,DEBUG,WebSocketTask,sendGPSData time, 1
49653,DEBUG,WebSocketTask,sendGPSData time, 1
49918,DEBUG,GNSSTask,pushRawData time, 5
50160,DEBUG,WebSocketTask,sendGPSData time, 1
50669,DEBUG,WebSocketTask,sendGPSData time, 1
50917,DEBUG,GNSSTask,pushRawData time, 5
51178,DEBUG,WebSocketTask,sendGPSData time, 1
51679,DEBUG,WebSocketTask,sendGPSData time, 1
51919,DEBUG,GNSSTask,pushRawData time, 5
52186,DEBUG,WebSocketTask,sendGPSData time, 1
52695,DEBUG,WebSocketTask,sendGPSData time, 1
52821,DEBUG,GNSSTask,pushRawData time, 5
53203,DEBUG,WebSocketTask,sendGPSData time, 1
53709,DEBUG,WebSocketTask,sendGPSData time, 1
53814,DEBUG,GNSSTask,pushRawData time, 4
54209,DEBUG,WebSocketTask,sendGPSData time, 1
54720,DEBUG,WebSocketTask,sendGPSData time, 0
54817,DEBUG,GNSSTask,pushRawData time, 5
55226,DEBUG,WebSocketTask,sendGPSData time, 3
55725,DEBUG,WebSocketTask,sendGPSData time, 1
55816,DEBUG,GNSSTask,pushRawData time, 5
56233,DEBUG,WebSocketTask,sendGPSData time, 1
56741,DEBUG,WebSocketTask,sendGPSData time, 1
56818,DEBUG,GNSSTask,pushRawData time, 5
57241,DEBUG,WebSocketTask,sendGPSData time, 1
57750,DEBUG,WebSocketTask,sendGPSData time, 1
57818,DEBUG,GNSSTask,pushRawData time, 5
58225,NAV,async_tcp,WebSocket received autonomous command, stop
58226,NAV,async_tcp,Stop command received
58261,DEBUG,WebSocketTask,sendGPSData time, 7
58277,NAV,NavTask,processNavigationCommand, 1
58277,NAV,NavTask,NAV_CMD_STOP, 0, 0
58764,DEBUG,WebSocketTask,sendGPSData time, 1
58919,DEBUG,GNSSTask,pushRawData time, 5
59272,DEBUG,WebSocketTask,sendGPSData time, 1
59774,DEBUG,WebSocketTask,sendGPSData time, 2
59930,DEBUG,GNSSTask,pushRawData time, 11
60277,DEBUG,WebSocketTask,sendGPSData time, 1
60779,DEBUG,WebSocketTask,sendGPSData time, 2
60917,DEBUG,GNSSTask,pushRawData time, 4
61279,DEBUG,WebSocketTask,sendGPSData time, 1
61707,NAV,async_tcp,command = record
61707,NAV,async_tcp,addWaypoint
61707,NAV,async_tcp,navCommandQueue spaces, 5
61777,NAV,NavTask,processNavigationCommand, 5
61777,NAV,NavTask,NAV_CMD_ADD_WAYPOINT, 42.6371613, -72.7291489
61778,NAV,NavTask,navStatus.totalWaypoints, 1
61781,DEBUG,WebSocketTask,sendGPSData time, 1
61819,DEBUG,GNSSTask,pushRawData time, 4
62286,DEBUG,WebSocketTask,sendGPSData time, 3
62786,DEBUG,WebSocketTask,sendGPSData time, 1
62830,DEBUG,GNSSTask,pushRawData time, 12
63286,DEBUG,WebSocketTask,sendGPSData time, 1
63794,DEBUG,WebSocketTask,sendGPSData time, 2
63924,DEBUG,GNSSTask,pushRawData time, 5
