
----- New Logging Session Started -----
Timestamp,Level,Task,Message
1972,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
1972,DEBUG,loopTask,Connecting to WiFi network: Galaxy XCover FieldPro8858
64297,DEBUG,WebSocketTask,sendGPSData time, 1
64797,DEBUG,WebSocketTask,sendGPSData time, 1
64818,DEBUG,GNSSTask,pushRawData time, 5
65309,DEBUG,WebSocketTask,sendGPSData time, 1
65821,DEBUG,WebSocketTask,sendGPSData time, 3
65921,DEBUG,GNSSTask,pushRawData time, 5
66319,DEBUG,WebSocketTask,sendGPSData time, 1
66831,DEBUG,WebSocketTask,sendGPSData time, 7
66918,DEBUG,GNSSTask,pushRawData time, 5
67336,DEBUG,WebSocketTask,sendGPSData time, 1
67838,DEBUG,WebSocketTask,sendGPSData time, 1
67921,DEBUG,GNSSTask,pushRawData time, 5
68338,DEBUG,WebSocketTask,sendGPSData time, 1
68846,DEBUG,WebSocketTask,sendGPSData time, 1
68917,DEBUG,GNSSTask,pushRawData time, 5
69346,DEBUG,WebSocketTask,sendGPSData time, 1
69854,DEBUG,WebSocketTask,sendGPSData time, 1
69919,DEBUG,GNSSTask,pushRawData time, 5
70364,DEBUG,WebSocketTask,sendGPSData time, 5
70448,DEBUG,GNSSTask,pushRawData time, 16
70539,DEBUG,GNSSTask,pushRawData time, 9
70597,DEBUG,GNSSTask,pushRawData time, 1
70865,DEBUG,WebSocketTask,sendGPSData time, 1
70919,DEBUG,GNSSTask,pushRawData time, 6
71096,DEBUG,GNSSTask,pushRawData time, 1
71369,DEBUG,WebSocketTask,sendGPSData time, 0
71641,NAV,async_tcp,command = record
71641,NAV,async_tcp,addWaypoint
71641,NAV,async_tcp,navCommandQueue spaces, 5
71677,NAV,NavTask,processNavigationCommand, 5
71677,NAV,NavTask,NAV_CMD_ADD_WAYPOINT, 42.6371460, -72.7291412
71677,NAV,NavTask,navStatus.totalWaypoints, 2
71869,DEBUG,WebSocketTask,sendGPSData time, 1
71921,DEBUG,GNSSTask,pushRawData time, 5
72373,DEBUG,WebSocketTask,sendGPSData time, 1
72819,DEBUG,GNSSTask,pushRawData time, 5
72882,DEBUG,WebSocketTask,sendGPSData time, 1
73392,DEBUG,WebSocketTask,sendGPSData time, 1
73901,DEBUG,WebSocketTask,sendGPSData time, 6
74015,DEBUG,GNSSTask,pushRawData time, 5
74395,DEBUG,WebSocketTask,sendGPSData time, 1
74899,DEBUG,WebSocketTask,sendGPSData time, 1
74920,DEBUG,GNSSTask,pushRawData time, 5
75403,DEBUG,WebSocketTask,sendGPSData time, 1
75901,DEBUG,WebSocketTask,sendGPSData time, 1
75923,DEBUG,GNSSTask,pushRawData time, 5
76407,DEBUG,WebSocketTask,sendGPSData time, 1
76908,DEBUG,WebSocketTask,sendGPSData time, 1
77317,DEBUG,GNSSTask,pushRawData time, 4
77410,DEBUG,WebSocketTask,sendGPSData time, 1
77909,DEBUG,WebSocketTask,sendGPSData time, 1
77923,DEBUG,GNSSTask,pushRawData time, 6
78415,DEBUG,WebSocketTask,sendGPSData time, 1
78921,DEBUG,WebSocketTask,sendGPSData time, 1
79014,NAV,async_tcp,command = record
79014,NAV,async_tcp,addWaypoint
79014,NAV,async_tcp,navCommandQueue spaces, 5
79019,DEBUG,GNSSTask,pushRawData time, 5
79077,NAV,NavTask,processNavigationCommand, 5
79077,NAV,NavTask,NAV_CMD_ADD_WAYPOINT, 42.6371269, -72.7291412
79078,NAV,NavTask,navStatus.totalWaypoints, 3
79425,DEBUG,WebSocketTask,sendGPSData time, 1
79924,DEBUG,WebSocketTask,sendGPSData time, 1
80016,DEBUG,GNSSTask,pushRawData time, 5
80430,DEBUG,WebSocketTask,sendGPSData time, 1
80818,DEBUG,GNSSTask,pushRawData time, 5
80930,DEBUG,WebSocketTask,sendGPSData time, 1
81439,DEBUG,WebSocketTask,sendGPSData time, 1
81949,DEBUG,WebSocketTask,sendGPSData time, 1
82016,DEBUG,GNSSTask,pushRawData time, 5
82450,DEBUG,WebSocketTask,sendGPSData time, 1
82919,DEBUG,GNSSTask,pushRawData time, 5
82959,DEBUG,WebSocketTask,sendGPSData time, 1
83468,DEBUG,WebSocketTask,sendGPSData time, 1
83920,DEBUG,GNSSTask,pushRawData time, 5
83980,DEBUG,WebSocketTask,sendGPSData time, 4
84479,DEBUG,WebSocketTask,sendGPSData time, 1
84883,NAV,async_tcp,command = record
84883,NAV,async_tcp,addWaypoint
84883,NAV,async_tcp,navCommandQueue spaces, 5
84920,DEBUG,GNSSTask,pushRawData time, 5
84977,NAV,NavTask,processNavigationCommand, 5
84977,NAV,NavTask,NAV_CMD_ADD_WAYPOINT, 42.6371117, -72.7291336
84978,NAV,NavTask,navStatus.totalWaypoints, 4
84981,DEBUG,WebSocketTask,sendGPSData time, 2
85490,DEBUG,WebSocketTask,sendGPSData time, 1
85921,DEBUG,GNSSTask,pushRawData time, 5
85993,DEBUG,WebSocketTask,sendGPSData time, 1
86497,DEBUG,WebSocketTask,sendGPSData time, 1
86999,DEBUG,WebSocketTask,sendGPSData time, 1
87020,DEBUG,GNSSTask,pushRawData time, 5
87501,DEBUG,WebSocketTask,sendGPSData time, 1
87998,DEBUG,WebSocketTask,sendGPSData time, 1
88019,DEBUG,GNSSTask,pushRawData time, 5
88510,DEBUG,WebSocketTask,sendGPSData time, 1
89019,DEBUG,GNSSTask,pushRawData time, 5
89015,DEBUG,WebSocketTask,sendGPSData time, 1
89525,DEBUG,WebSocketTask,sendGPSData time, 1
90017,DEBUG,GNSSTask,pushRawData time, 5
90033,DEBUG,WebSocketTask,sendGPSData time, 3
90534,DEBUG,WebSocketTask,sendGPSData time, 1
90570,NAV,async_tcp,command = record
90570,NAV,async_tcp,addWaypoint
90570,NAV,async_tcp,navCommandQueue spaces, 5
90577,NAV,NavTask,processNavigationCommand, 5
90577,NAV,NavTask,NAV_CMD_ADD_WAYPOINT, 42.6371040, -72.7291489
90577,NAV,NavTask,navStatus.totalWaypoints, 5
90819,DEBUG,GNSSTask,pushRawData time, 5
91037,DEBUG,WebSocketTask,sendGPSData time, 1
91545,DEBUG,WebSocketTask,sendGPSData time, 1
91922,DEBUG,GNSSTask,pushRawData time, 5
92043,DEBUG,WebSocketTask,sendGPSData time, 1
92551,DEBUG,WebSocketTask,sendGPSData time, 1
92920,DEBUG,GNSSTask,pushRawData time, 5
93058,DEBUG,WebSocketTask,sendGPSData time, 7
93552,DEBUG,WebSocketTask,sendGPSData time, 1
93920,DEBUG,GNSSTask,pushRawData time, 4
94056,DEBUG,WebSocketTask,sendGPSData time, 1
94557,DEBUG,WebSocketTask,sendGPSData time, 1
94919,DEBUG,GNSSTask,pushRawData time, 5
95062,DEBUG,WebSocketTask,sendGPSData time, 0
95566,DEBUG,WebSocketTask,sendGPSData time, 1
96025,DEBUG,GNSSTask,pushRawData time, 5
96065,DEBUG,WebSocketTask,sendGPSData time, 1
96568,DEBUG,WebSocketTask,sendGPSData time, 2
97019,DEBUG,GNSSTask,pushRawData time, 5
97071,DEBUG,WebSocketTask,sendGPSData time, 1
97576,DEBUG,WebSocketTask,sendGPSData time, 1
97818,DEBUG,GNSSTask,pushRawData time, 5
98080,DEBUG,WebSocketTask,sendGPSData time, 3
98582,DEBUG,WebSocketTask,sendGPSData time, 3
99018,DEBUG,GNSSTask,pushRawData time, 4
99083,DEBUG,WebSocketTask,sendGPSData time, 1
99589,DEBUG,WebSocketTask,sendGPSData time, 5
99916,DEBUG,GNSSTask,pushRawData time, 4
100089,DEBUG,WebSocketTask,sendGPSData time, 1
100249,DEBUG,GNSSTask,pushRawData time, 17
100346,DEBUG,GNSSTask,pushRawData time, 17
100394,DEBUG,GNSSTask,pushRawData time, 2
100598,DEBUG,WebSocketTask,sendGPSData time, 1
101024,DEBUG,GNSSTask,pushRawData time, 5
101098,DEBUG,GNSSTask,pushRawData time, 2
101106,DEBUG,WebSocketTask,sendGPSData time, 1
101607,DEBUG,WebSocketTask,sendGPSData time, 2
101918,DEBUG,GNSSTask,pushRawData time, 5
102115,DEBUG,WebSocketTask,sendGPSData time, 4
102616,DEBUG,WebSocketTask,sendGPSData time, 1
102918,DEBUG,GNSSTask,pushRawData time, 5
103116,DEBUG,WebSocketTask,sendGPSData time, 1
103618,DEBUG,WebSocketTask,sendGPSData time, 1
104024,DEBUG,GNSSTask,pushRawData time, 5
104121,DEBUG,WebSocketTask,sendGPSData time, 1
104622,DEBUG,WebSocketTask,sendGPSData time, 2
105016,DEBUG,GNSSTask,pushRawData time, 5
105127,DEBUG,WebSocketTask,sendGPSData time, 1
105627,DEBUG,WebSocketTask,sendGPSData time, 1
106023,DEBUG,GNSSTask,pushRawData time, 4
106131,DEBUG,WebSocketTask,sendGPSData time, 1
106635,DEBUG,WebSocketTask,sendGPSData time, 1
106815,DEBUG,GNSSTask,pushRawData time, 4
107137,DEBUG,WebSocketTask,sendGPSData time, 1
107645,DEBUG,WebSocketTask,sendGPSData time, 1
108024,DEBUG,GNSSTask,pushRawData time, 5
108150,DEBUG,WebSocketTask,sendGPSData time, 1
108658,DEBUG,WebSocketTask,sendGPSData time, 0
108916,DEBUG,GNSSTask,pushRawData time, 5
109159,DEBUG,WebSocketTask,sendGPSData time, 1
109669,DEBUG,WebSocketTask,sendGPSData time, 1
109920,DEBUG,GNSSTask,pushRawData time, 5
110181,DEBUG,WebSocketTask,sendGPSData time, 1
110449,NAV,async_tcp,WebSocket received autonomous command, start
110450,NAV,async_tcp,webSocketEventRTOS data, 2.00, 100.00, 0, 5
110451,NAV,async_tcp,followingWaypoints to true, 5
110477,NAV,NavTask,processNavigationCommand, 0
110477,NAV,NavTask,NAV_CMD_START, 2.00, 100.00, 1
110477,NAV,NavTask,isActive or lastActive chg, 1, 0
110478,NAV,NavTask,wp reached, 1.35
110478,DEBUG,NavTask,handleWaypointReached
110478,NAV,NavTask,currentWaypoint, totalWaypoints, followingWaypoints, 0, 5, 1
110525,NAV,ControlTask,ControlTask state chg, 1, 0
110525,NAV,ControlTask,ControlTask data, 42.6371689, -72.7291412, 0.02, 200.4
110682,DEBUG,WebSocketTask,sendGPSData time, 1
110918,DEBUG,GNSSTask,pushRawData time, 4
111075,NAV,ControlTask,ControlTask data, 42.6371689, -72.7291412, 0.04, 200.4
111187,DEBUG,WebSocketTask,sendGPSData time, 1
111625,NAV,ControlTask,ControlTask data, 42.6371689, -72.7291412, 0.21, 224.5
111690,DEBUG,WebSocketTask,sendGPSData time, 4
111920,DEBUG,GNSSTask,pushRawData time, 4
112175,NAV,ControlTask,ControlTask data, 42.6371651, -72.7291412, 0.36, 219.9
112194,DEBUG,WebSocketTask,sendGPSData time, 3
112700,DEBUG,WebSocketTask,sendGPSData time, 1
112725,NAV,ControlTask,ControlTask data, 42.6371651, -72.7291489, 0.29, 245.3
112819,DEBUG,GNSSTask,pushRawData time, 5
113202,DEBUG,WebSocketTask,sendGPSData time, 1
113275,NAV,ControlTask,ControlTask data, 42.6371651, -72.7291489, 0.20, 236.3
113711,DEBUG,WebSocketTask,sendGPSData time, 1
113819,DEBUG,GNSSTask,pushRawData time, 5
113825,NAV,ControlTask,ControlTask data, 42.6371651, -72.7291489, 0.35, 214.7
114218,DEBUG,WebSocketTask,sendGPSData time, 1
114375,NAV,ControlTask,ControlTask data, 42.6371613, -72.7291489, 0.24, 217.5
114726,DEBUG,WebSocketTask,sendGPSData time, 1
114817,DEBUG,GNSSTask,pushRawData time, 5
114925,NAV,ControlTask,ControlTask data, 42.6371613, -72.7291489, 0.16, 229.5
115227,DEBUG,WebSocketTask,sendGPSData time, 1
115475,NAV,ControlTask,ControlTask data, 42.6371613, -72.7291489, 0.51, 173.5
115677,NAV,NavTask,wp reached, 1.89
115677,DEBUG,NavTask,handleWaypointReached
115677,NAV,NavTask,currentWaypoint, totalWaypoints, followingWaypoints, 1, 5, 1
115736,DEBUG,WebSocketTask,sendGPSData time, 1
116023,DEBUG,GNSSTask,pushRawData time, 4
116025,NAV,ControlTask,ControlTask data, 42.6371574, -72.7291489, 0.33, 184.7
116244,DEBUG,WebSocketTask,sendGPSData time, 1
116575,NAV,ControlTask,ControlTask data, 42.6371574, -72.7291489, 0.25, 215.8
116745,DEBUG,WebSocketTask,sendGPSData time, 1
116817,DEBUG,GNSSTask,pushRawData time, 5
117125,NAV,ControlTask,ControlTask data, 42.6371536, -72.7291489, 0.40, 153.1
117247,DEBUG,WebSocketTask,sendGPSData time, 1
117675,NAV,ControlTask,ControlTask data, 42.6371536, -72.7291489, 0.34, 129.3
117755,DEBUG,WebSocketTask,sendGPSData time, 1
117821,DEBUG,GNSSTask,pushRawData time, 5
118225,NAV,ControlTask,ControlTask data, 42.6371498, -72.7291489, 0.53, 168.2
118259,DEBUG,WebSocketTask,sendGPSData time, 1
118768,DEBUG,WebSocketTask,sendGPSData time, 1
118774,NAV,ControlTask,ControlTask data, 42.6371498, -72.7291489, 0.56, 156.8
118820,DEBUG,GNSSTask,pushRawData time, 5
119275,NAV,ControlTask,ControlTask data, 42.6371460, -72.7291412, 0.82, 159.5
119277,NAV,NavTask,wp reached, 1.90
119277,DEBUG,NavTask,handleWaypointReached
119277,NAV,NavTask,currentWaypoint, totalWaypoints, followingWaypoints, 2, 5, 1
119278,DEBUG,WebSocketTask,sendGPSData time, 2
119779,DEBUG,WebSocketTask,sendGPSData time, 3
119821,DEBUG,GNSSTask,pushRawData time, 5
119825,NAV,ControlTask,ControlTask data, 42.6371422, -72.7291412, 0.57, 191.1
120286,DEBUG,WebSocketTask,sendGPSData time, 1
120375,NAV,ControlTask,ControlTask data, 42.6371422, -72.7291412, 0.42, 179.3
120795,DEBUG,WebSocketTask,sendGPSData time, 1
120918,DEBUG,GNSSTask,pushRawData time, 5
120925,NAV,ControlTask,ControlTask data, 42.6371384, -72.7291412, 0.62, 179.6
121304,DEBUG,WebSocketTask,sendGPSData time, 2
121475,NAV,ControlTask,ControlTask data, 42.6371346, -72.7291412, 0.49, 177.8
121813,DEBUG,WebSocketTask,sendGPSData time, 1
121920,DEBUG,GNSSTask,pushRawData time, 4
122025,NAV,ControlTask,ControlTask data, 42.6371346, -72.7291412, 0.62, 168.3
122315,DEBUG,WebSocketTask,sendGPSData time, 1
122575,NAV,ControlTask,ControlTask data, 42.6371307, -72.7291412, 0.43, 191.3
122823,DEBUG,WebSocketTask,sendGPSData time, 1
122877,NAV,NavTask,wp reached, 1.98
122877,DEBUG,NavTask,handleWaypointReached
122877,NAV,NavTask,currentWaypoint, totalWaypoints, followingWaypoints, 3, 5, 1
122921,DEBUG,GNSSTask,pushRawData time, 5
123125,NAV,ControlTask,ControlTask data, 42.6371269, -72.7291412, 0.30, 177.8
123328,DEBUG,WebSocketTask,sendGPSData time, 1
123675,NAV,ControlTask,ControlTask data, 42.6371231, -72.7291412, 0.66, 155.0
123819,DEBUG,GNSSTask,pushRawData time, 5
123839,DEBUG,WebSocketTask,sendGPSData time, 7
124225,NAV,ControlTask,ControlTask data, 42.6371231, -72.7291412, 0.56, 161.5
124341,DEBUG,WebSocketTask,sendGPSData time, 7
124775,NAV,ControlTask,ControlTask data, 42.6371193, -72.7291336, 0.43, 164.4
124818,DEBUG,GNSSTask,pushRawData time, 5
124834,DEBUG,WebSocketTask,sendGPSData time, 1
125325,NAV,ControlTask,ControlTask data, 42.6371193, -72.7291336, 0.39, 168.4
125344,DEBUG,WebSocketTask,sendGPSData time, 2
125843,DEBUG,WebSocketTask,sendGPSData time, 1
125875,NAV,ControlTask,ControlTask data, 42.6371155, -72.7291336, 0.71, 183.2
125921,DEBUG,GNSSTask,pushRawData time, 5
126352,DEBUG,WebSocketTask,sendGPSData time, 8
126425,NAV,ControlTask,ControlTask data, 42.6371117, -72.7291336, 0.59, 214.0
126477,NAV,NavTask,wp reached, 1.84
126477,DEBUG,NavTask,handleWaypointReached
