Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,211,0
Session 1,position-control latency time,NAV,1,322,53.56,37.0,211,11302
Session 1,ControlTask time,ERROR,0,119,43.99,45.0,210,9238
Session 1,NavigationTask time,ERROR,0,100,9.06,0.0,17,154
Session 1,GNSS checkCallbacks time,ERROR,1,1,1.0,1.0,57,57
Session 1,GNSS checkUblox time,ERROR,1,203,10.73,2.0,197,2114
Session 1,GNSSTask time,ERROR,2,347,56.3,32.5,200,11259
Session 1,pushRawData time,ERROR,21,78,26.45,24.0,22,582
Session 1,GGATask time,ERROR,4,13,5.32,5.0,19,101
