
----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message
1072,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
5275,ERROR,ControlTask,ControlTask time, 0
5278,ERROR,NavTask,NavigationTask time, 0
5303,ERROR,GNSSTask,GNSS checkUblox time, 1
5325,ERROR,ControlTask,ControlTask time, 0
5328,ERROR,NavTask,NavigationTask time, 0
5375,ERROR,ControlTask,ControlTask time, 0
5378,ERROR,NavTask,NavigationTask time, 0
5404,ERROR,GNSSTask,GNSS checkUblox time, 1
5425,ERROR,ControlTask,ControlTask time, 0
5428,ERROR,NavTask,NavigationTask time, 0
5475,ERROR,ControlTask,ControlTask time, 0
5478,ERROR,NavTask,NavigationTask time, 0
5505,ERROR,GNSSTask,GNSS checkUblox time, 1
5525,ERROR,ControlTask,ControlTask time, 0
5528,ERROR,NavTask,NavigationTask time, 0
5575,ERROR,ControlTask,ControlTask time, 0
5578,ERROR,NavTask,NavigationTask time, 0
5606,ERROR,GNSSTask,GNSS checkUblox time, 1
5625,ERROR,ControlTask,ControlTask time, 0
5628,ERROR,NavTask,NavigationTask time, 0
5675,ERROR,ControlTask,ControlTask time, 0
5678,ERROR,NavTask,NavigationTask time, 0
5707,ERROR,GNSSTask,GNSS checkUblox time, 1
5725,ERROR,ControlTask,ControlTask time, 0
5728,ERROR,NavTask,NavigationTask time, 0
5775,ERROR,ControlTask,ControlTask time, 0
5778,ERROR,NavTask,NavigationTask time, 0
5808,ERROR,GNSSTask,GNSS checkUblox time, 1
5825,ERROR,ControlTask,ControlTask time, 0
5828,ERROR,NavTask,NavigationTask time, 0
5875,ERROR,ControlTask,ControlTask time, 0
5878,ERROR,NavTask,NavigationTask time, 0
5880,ERROR,GGATask,GGATask time, 1
5909,ERROR,GNSSTask,GNSS checkUblox time, 1
5925,ERROR,ControlTask,ControlTask time, 0
5928,ERROR,NavTask,NavigationTask time, 0
5975,ERROR,ControlTask,ControlTask time, 0
5978,ERROR,NavTask,NavigationTask time, 0
6010,ERROR,GNSSTask,GNSS checkUblox time, 1
6025,ERROR,ControlTask,ControlTask time, 0
6028,ERROR,NavTask,NavigationTask time, 0
6075,ERROR,ControlTask,ControlTask time, 0
6078,ERROR,NavTask,NavigationTask time, 0
6111,ERROR,GNSSTask,GNSS checkUblox time, 1
6125,ERROR,ControlTask,ControlTask time, 0
6128,ERROR,NavTask,NavigationTask time, 0
6175,ERROR,ControlTask,ControlTask time, 0
6178,ERROR,NavTask,NavigationTask time, 0
6212,ERROR,GNSSTask,GNSS checkUblox time, 1
6225,ERROR,ControlTask,ControlTask time, 0
6228,ERROR,NavTask,NavigationTask time, 0
6275,ERROR,ControlTask,ControlTask time, 0
6278,ERROR,NavTask,NavigationTask time, 0
6313,ERROR,GNSSTask,GNSS checkUblox time, 1
6325,ERROR,ControlTask,ControlTask time, 0
6328,ERROR,NavTask,NavigationTask time, 0
6375,ERROR,ControlTask,ControlTask time, 0
6378,ERROR,NavTask,NavigationTask time, 0
6414,ERROR,GNSSTask,GNSS checkUblox time, 1
6425,ERROR,ControlTask,ControlTask time, 0
6428,ERROR,NavTask,NavigationTask time, 0
6475,ERROR,ControlTask,ControlTask time, 0
6478,ERROR,NavTask,NavigationTask time, 0
6515,ERROR,GNSSTask,GNSS checkUblox time, 1
6525,ERROR,ControlTask,ControlTask time, 0
6528,ERROR,NavTask,NavigationTask time, 0
6575,ERROR,ControlTask,ControlTask time, 0
6578,ERROR,NavTask,NavigationTask time, 0
6616,ERROR,GNSSTask,GNSS checkUblox time, 1
6625,ERROR,ControlTask,ControlTask time, 0
6628,ERROR,NavTask,NavigationTask time, 0
6675,ERROR,ControlTask,ControlTask time, 0
6678,ERROR,NavTask,NavigationTask time, 0
6717,ERROR,GNSSTask,GNSS checkUblox time, 1
6725,ERROR,ControlTask,ControlTask time, 0
6728,ERROR,NavTask,NavigationTask time, 0
6775,ERROR,ControlTask,ControlTask time, 0
6778,ERROR,NavTask,NavigationTask time, 0
6818,ERROR,GNSSTask,GNSS checkUblox time, 1
6825,ERROR,ControlTask,ControlTask time, 0
6828,ERROR,NavTask,NavigationTask time, 0
6875,ERROR,ControlTask,ControlTask time, 0
6878,ERROR,NavTask,NavigationTask time, 0
6880,ERROR,GGATask,GGATask time, 1
6919,ERROR,GNSSTask,GNSS checkUblox time, 1
6925,ERROR,ControlTask,ControlTask time, 0
6928,ERROR,NavTask,NavigationTask time, 0
6975,ERROR,ControlTask,ControlTask time, 0
6978,ERROR,NavTask,NavigationTask time, 0
7020,ERROR,GNSSTask,GNSS checkUblox time, 1
7025,ERROR,ControlTask,ControlTask time, 0
7028,ERROR,NavTask,NavigationTask time, 0
7075,ERROR,ControlTask,ControlTask time, 0
7078,ERROR,NavTask,NavigationTask time, 0
7121,ERROR,GNSSTask,GNSS checkUblox time, 1
7125,ERROR,ControlTask,ControlTask time, 0
7128,ERROR,NavTask,NavigationTask time, 0
7175,ERROR,ControlTask,ControlTask time, 0
7178,ERROR,NavTask,NavigationTask time, 0
7222,ERROR,GNSSTask,GNSS checkUblox time, 1
7225,ERROR,ControlTask,ControlTask time, 0
7228,ERROR,NavTask,NavigationTask time, 0
7275,ERROR,ControlTask,ControlTask time, 0
7278,ERROR,NavTask,NavigationTask time, 0
7323,ERROR,GNSSTask,GNSS checkUblox time, 1
7325,ERROR,ControlTask,ControlTask time, 0
7328,ERROR,NavTask,NavigationTask time, 0
7375,ERROR,ControlTask,ControlTask time, 0
7378,ERROR,NavTask,NavigationTask time, 0
7424,ERROR,GNSSTask,GNSS checkUblox time, 1
7425,ERROR,ControlTask,ControlTask time, 0
7428,ERROR,NavTask,NavigationTask time, 0
7475,ERROR,ControlTask,ControlTask time, 0
7478,ERROR,NavTask,NavigationTask time, 0
7525,ERROR,GNSSTask,GNSS checkUblox time, 1
7525,ERROR,ControlTask,ControlTask time, 0
7528,ERROR,NavTask,NavigationTask time, 0
7575,ERROR,ControlTask,ControlTask time, 0
7578,ERROR,NavTask,NavigationTask time, 0
7626,ERROR,GNSSTask,GNSS checkUblox time, 1
7626,ERROR,ControlTask,ControlTask time, 0
7628,ERROR,NavTask,NavigationTask time, 0
7675,ERROR,ControlTask,ControlTask time, 0
7678,ERROR,NavTask,NavigationTask time, 0
7725,ERROR,ControlTask,ControlTask time, 0
7727,ERROR,GNSSTask,GNSS checkUblox time, 1
7728,ERROR,NavTask,NavigationTask time, 0
7775,ERROR,ControlTask,ControlTask time, 0
7778,ERROR,NavTask,NavigationTask time, 0
7825,ERROR,ControlTask,ControlTask time, 0
7828,ERROR,GNSSTask,GNSS checkUblox time, 1
7828,ERROR,NavTask,NavigationTask time, 0
7875,ERROR,ControlTask,ControlTask time, 0
7878,ERROR,NavTask,NavigationTask time, 0
7880,ERROR,GGATask,GGATask time, 1
7925,ERROR,ControlTask,ControlTask time, 0
7929,ERROR,GNSSTask,GNSS checkUblox time, 1
7929,ERROR,NavTask,NavigationTask time, 0
7975,ERROR,ControlTask,ControlTask time, 0
7978,ERROR,NavTask,NavigationTask time, 0
8025,ERROR,ControlTask,ControlTask time, 0
8028,ERROR,NavTask,NavigationTask time, 0
8030,ERROR,GNSSTask,GNSS checkUblox time, 1
8075,ERROR,ControlTask,ControlTask time, 0
8078,ERROR,NavTask,NavigationTask time, 0
8125,ERROR,ControlTask,ControlTask time, 0
8128,ERROR,NavTask,NavigationTask time, 0
8131,ERROR,GNSSTask,GNSS checkUblox time, 1
8175,ERROR,ControlTask,ControlTask time, 0
8178,ERROR,NavTask,NavigationTask time, 0
8225,ERROR,ControlTask,ControlTask time, 0
8228,ERROR,NavTask,NavigationTask time, 0
8232,ERROR,GNSSTask,GNSS checkUblox time, 1
8275,ERROR,ControlTask,ControlTask time, 0
8278,ERROR,NavTask,NavigationTask time, 0
8325,ERROR,ControlTask,ControlTask time, 0
8328,ERROR,NavTask,NavigationTask time, 0
8333,ERROR,GNSSTask,GNSS checkUblox time, 1
8375,ERROR,ControlTask,ControlTask time, 0
8378,ERROR,NavTask,NavigationTask time, 0
8425,ERROR,ControlTask,ControlTask time, 0
8428,ERROR,NavTask,NavigationTask time, 0
8434,ERROR,GNSSTask,GNSS checkUblox time, 1
8475,ERROR,ControlTask,ControlTask time, 0
8478,ERROR,NavTask,NavigationTask time, 0
8525,ERROR,ControlTask,ControlTask time, 0
8528,ERROR,NavTask,NavigationTask time, 0
8535,ERROR,GNSSTask,GNSS checkUblox time, 1
8575,ERROR,ControlTask,ControlTask time, 0
8578,ERROR,NavTask,NavigationTask time, 0
8625,ERROR,ControlTask,ControlTask time, 0
8628,ERROR,NavTask,NavigationTask time, 0
8636,ERROR,GNSSTask,GNSS checkUblox time, 1
8675,ERROR,ControlTask,ControlTask time, 0
8678,ERROR,NavTask,NavigationTask time, 0
8725,ERROR,ControlTask,ControlTask time, 0
8728,ERROR,NavTask,NavigationTask time, 0
8737,ERROR,GNSSTask,GNSS checkUblox time, 1
8775,ERROR,ControlTask,ControlTask time, 0
8778,ERROR,NavTask,NavigationTask time, 0
8825,ERROR,ControlTask,ControlTask time, 0
8828,ERROR,NavTask,NavigationTask time, 0
8838,ERROR,GNSSTask,GNSS checkUblox time, 1
8875,ERROR,ControlTask,ControlTask time, 0
8878,ERROR,NavTask,NavigationTask time, 0
8880,ERROR,GGATask,GGATask time, 1
8925,ERROR,ControlTask,ControlTask time, 0
8928,ERROR,NavTask,NavigationTask time, 0
8939,ERROR,GNSSTask,GNSS checkUblox time, 1
8975,ERROR,ControlTask,ControlTask time, 0
8978,ERROR,NavTask,NavigationTask time, 0
9025,ERROR,ControlTask,ControlTask time, 0
9028,ERROR,NavTask,NavigationTask time, 0
9040,ERROR,GNSSTask,GNSS checkUblox time, 1
9075,ERROR,ControlTask,ControlTask time, 0
9078,ERROR,NavTask,NavigationTask time, 0
9125,ERROR,ControlTask,ControlTask time, 0
9128,ERROR,NavTask,NavigationTask time, 0
9141,ERROR,GNSSTask,GNSS checkUblox time, 1
9175,ERROR,ControlTask,ControlTask time, 0
9178,ERROR,NavTask,NavigationTask time, 0
9225,ERROR,ControlTask,ControlTask time, 0
9228,ERROR,NavTask,NavigationTask time, 0
9242,ERROR,GNSSTask,GNSS checkUblox time, 1
9275,ERROR,ControlTask,ControlTask time, 0
9278,ERROR,NavTask,NavigationTask time, 0
9325,ERROR,ControlTask,ControlTask time, 0
9328,ERROR,NavTask,NavigationTask time, 0
9343,ERROR,GNSSTask,GNSS checkUblox time, 1
9375,ERROR,ControlTask,ControlTask time, 0
9378,ERROR,NavTask,NavigationTask time, 0
9425,ERROR,ControlTask,ControlTask time, 0
9428,ERROR,NavTask,NavigationTask time, 0
9444,ERROR,GNSSTask,GNSS checkUblox time, 1
9475,ERROR,ControlTask,ControlTask time, 0
9478,ERROR,NavTask,NavigationTask time, 0
9525,ERROR,ControlTask,ControlTask time, 0
9528,ERROR,NavTask,NavigationTask time, 0
9545,ERROR,GNSSTask,GNSS checkUblox time, 1
9575,ERROR,ControlTask,ControlTask time, 0
9578,ERROR,NavTask,NavigationTask time, 0
9625,ERROR,ControlTask,ControlTask time, 0
9628,ERROR,NavTask,NavigationTask time, 0
9646,ERROR,GNSSTask,GNSS checkUblox time, 1
9675,ERROR,ControlTask,ControlTask time, 0
9678,ERROR,NavTask,NavigationTask time, 0
9725,ERROR,ControlTask,ControlTask time, 0
9728,ERROR,NavTask,NavigationTask time, 0
9747,ERROR,GNSSTask,GNSS checkUblox time, 1
9775,ERROR,ControlTask,ControlTask time, 0
9778,ERROR,NavTask,NavigationTask time, 0
9825,ERROR,ControlTask,ControlTask time, 0
9828,ERROR,NavTask,NavigationTask time, 0
9848,ERROR,GNSSTask,GNSS checkUblox time, 1
9875,ERROR,ControlTask,ControlTask time, 0
9878,ERROR,NavTask,NavigationTask time, 0
9880,ERROR,GGATask,GGATask time, 1
9925,ERROR,ControlTask,ControlTask time, 0
9928,ERROR,NavTask,NavigationTask time, 0
9949,ERROR,GNSSTask,GNSS checkUblox time, 1
9975,ERROR,ControlTask,ControlTask time, 0
9978,ERROR,NavTask,NavigationTask time, 0
10025,ERROR,ControlTask,ControlTask time, 0
10028,ERROR,NavTask,NavigationTask time, 0
10050,ERROR,GNSSTask,GNSS checkUblox time, 1
10075,ERROR,ControlTask,ControlTask time, 0
10078,ERROR,NavTask,NavigationTask time, 0
10125,ERROR,ControlTask,ControlTask time, 0
10128,ERROR,NavTask,NavigationTask time, 0
10151,ERROR,GNSSTask,GNSS checkUblox time, 1
10175,ERROR,ControlTask,ControlTask time, 0
10178,ERROR,NavTask,NavigationTask time, 0
10225,ERROR,ControlTask,ControlTask time, 0
10228,ERROR,NavTask,NavigationTask time, 0
10252,ERROR,GNSSTask,GNSS checkUblox time, 1
10275,ERROR,ControlTask,ControlTask time, 0
10278,ERROR,NavTask,NavigationTask time, 0
10325,ERROR,ControlTask,ControlTask time, 0
10328,ERROR,NavTask,NavigationTask time, 0
10353,ERROR,GNSSTask,GNSS checkUblox time, 1
10375,ERROR,ControlTask,ControlTask time, 0
10378,ERROR,NavTask,NavigationTask time, 0
10425,ERROR,ControlTask,ControlTask time, 0
10428,ERROR,NavTask,NavigationTask time, 0
10454,ERROR,GNSSTask,GNSS checkUblox time, 1
10475,ERROR,ControlTask,ControlTask time, 0
10478,ERROR,NavTask,NavigationTask time, 0
10525,ERROR,ControlTask,ControlTask time, 0
10528,ERROR,NavTask,NavigationTask time, 0
10555,ERROR,GNSSTask,GNSS checkUblox time, 1
10575,ERROR,ControlTask,ControlTask time, 0
10578,ERROR,NavTask,NavigationTask time, 0
10625,ERROR,ControlTask,ControlTask time, 0
10628,ERROR,NavTask,NavigationTask time, 0
10656,ERROR,GNSSTask,GNSS checkUblox time, 1
10675,ERROR,ControlTask,ControlTask time, 0
10678,ERROR,NavTask,NavigationTask time, 0
10725,ERROR,ControlTask,ControlTask time, 0
10728,ERROR,NavTask,NavigationTask time, 0
10757,ERROR,GNSSTask,GNSS checkUblox time, 1
10775,ERROR,ControlTask,ControlTask time, 0
10778,ERROR,NavTask,NavigationTask time, 0
10825,ERROR,ControlTask,ControlTask time, 0
10828,ERROR,NavTask,NavigationTask time, 0
10858,ERROR,GNSSTask,GNSS checkUblox time, 1
10875,ERROR,ControlTask,ControlTask time, 0
10878,ERROR,NavTask,NavigationTask time, 0
10880,ERROR,GGATask,GGATask time, 1
10925,ERROR,ControlTask,ControlTask time, 0
10928,ERROR,NavTask,NavigationTask time, 0
10959,ERROR,GNSSTask,GNSS checkUblox time, 1
10975,ERROR,ControlTask,ControlTask time, 0
10978,ERROR,NavTask,NavigationTask time, 0
11025,ERROR,ControlTask,ControlTask time, 0
11028,ERROR,NavTask,NavigationTask time, 0
11060,ERROR,GNSSTask,GNSS checkUblox time, 1
11075,ERROR,ControlTask,ControlTask time, 0
11078,ERROR,NavTask,NavigationTask time, 0
11125,ERROR,ControlTask,ControlTask time, 0
11128,ERROR,NavTask,NavigationTask time, 0
11161,ERROR,GNSSTask,GNSS checkUblox time, 1
11175,ERROR,ControlTask,ControlTask time, 0
11178,ERROR,NavTask,NavigationTask time, 0
11225,ERROR,ControlTask,ControlTask time, 0
11228,ERROR,NavTask,NavigationTask time, 0
11262,ERROR,GNSSTask,GNSS checkUblox time, 1
11275,ERROR,ControlTask,ControlTask time, 0
11278,ERROR,NavTask,NavigationTask time, 0
11325,ERROR,ControlTask,ControlTask time, 0
11328,ERROR,NavTask,NavigationTask time, 0
11363,ERROR,GNSSTask,GNSS checkUblox time, 1
11375,ERROR,ControlTask,ControlTask time, 0
11378,ERROR,NavTask,NavigationTask time, 0
11425,ERROR,ControlTask,ControlTask time, 0
11428,ERROR,NavTask,NavigationTask time, 0
11464,ERROR,GNSSTask,GNSS checkUblox time, 1
11475,ERROR,ControlTask,ControlTask time, 0
11478,ERROR,NavTask,NavigationTask time, 0
11525,ERROR,ControlTask,ControlTask time, 0
11528,ERROR,NavTask,NavigationTask time, 0
11565,ERROR,GNSSTask,GNSS checkUblox time, 1
11575,ERROR,ControlTask,ControlTask time, 0
11578,ERROR,NavTask,NavigationTask time, 0
11625,ERROR,ControlTask,ControlTask time, 0
11628,ERROR,NavTask,NavigationTask time, 0
11666,ERROR,GNSSTask,GNSS checkUblox time, 1
11675,ERROR,ControlTask,ControlTask time, 0
11678,ERROR,NavTask,NavigationTask time, 0
11725,ERROR,ControlTask,ControlTask time, 0
11728,ERROR,NavTask,NavigationTask time, 0
11767,ERROR,GNSSTask,GNSS checkUblox time, 1
11775,ERROR,ControlTask,ControlTask time, 0
11778,ERROR,NavTask,NavigationTask time, 0
11825,ERROR,ControlTask,ControlTask time, 0
11828,ERROR,NavTask,NavigationTask time, 0
11868,ERROR,GNSSTask,GNSS checkUblox time, 1
11875,ERROR,ControlTask,ControlTask time, 0
11878,ERROR,NavTask,NavigationTask time, 0
11880,ERROR,GGATask,GGATask time, 1
11925,ERROR,ControlTask,ControlTask time, 0
11928,ERROR,NavTask,NavigationTask time, 0
11969,ERROR,GNSSTask,GNSS checkUblox time, 1
11975,ERROR,ControlTask,ControlTask time, 0
11978,ERROR,NavTask,NavigationTask time, 0
12025,ERROR,ControlTask,ControlTask time, 0
12028,ERROR,NavTask,NavigationTask time, 0
12070,ERROR,GNSSTask,GNSS checkUblox time, 1
12075,ERROR,ControlTask,ControlTask time, 0
12078,ERROR,NavTask,NavigationTask time, 0
12125,ERROR,ControlTask,ControlTask time, 0
12128,ERROR,NavTask,NavigationTask time, 0
12171,ERROR,GNSSTask,GNSS checkUblox time, 1
12175,ERROR,ControlTask,ControlTask time, 0
12178,ERROR,NavTask,NavigationTask time, 0
12225,ERROR,ControlTask,ControlTask time, 0
12228,ERROR,NavTask,NavigationTask time, 0
12272,ERROR,GNSSTask,GNSS checkUblox time, 1
12275,ERROR,ControlTask,ControlTask time, 0
12278,ERROR,NavTask,NavigationTask time, 0
12325,ERROR,ControlTask,ControlTask time, 0
12328,ERROR,NavTask,NavigationTask time, 0
12373,ERROR,GNSSTask,GNSS checkUblox time, 1
12375,ERROR,ControlTask,ControlTask time, 0
12378,ERROR,NavTask,NavigationTask time, 0
12425,ERROR,ControlTask,ControlTask time, 0
12428,ERROR,NavTask,NavigationTask time, 0
12474,ERROR,GNSSTask,GNSS checkUblox time, 1
12475,ERROR,ControlTask,ControlTask time, 0
12478,ERROR,NavTask,NavigationTask time, 0
12525,ERROR,ControlTask,ControlTask time, 0
12528,ERROR,NavTask,NavigationTask time, 0
12575,ERROR,GNSSTask,GNSS checkUblox time, 1
12575,ERROR,ControlTask,ControlTask time, 0
12578,ERROR,NavTask,NavigationTask time, 0
12625,ERROR,ControlTask,ControlTask time, 0
12628,ERROR,NavTask,NavigationTask time, 0
12676,ERROR,GNSSTask,GNSS checkUblox time, 1
12676,ERROR,ControlTask,ControlTask time, 0
12678,ERROR,NavTask,NavigationTask time, 0
12725,ERROR,ControlTask,ControlTask time, 0
12728,ERROR,NavTask,NavigationTask time, 0
12775,ERROR,ControlTask,ControlTask time, 0
12777,ERROR,GNSSTask,GNSS checkUblox time, 1
12778,ERROR,NavTask,NavigationTask time, 0
12825,ERROR,ControlTask,ControlTask time, 0
12828,ERROR,NavTask,NavigationTask time, 0
12875,ERROR,ControlTask,ControlTask time, 0
12878,ERROR,NavTask,NavigationTask time, 0
12880,ERROR,GGATask,GGATask time, 1
12925,ERROR,ControlTask,ControlTask time, 0
12929,ERROR,NavTask,NavigationTask time, 0
12975,ERROR,ControlTask,ControlTask time, 0
12978,ERROR,NavTask,NavigationTask time, 0
13025,ERROR,ControlTask,ControlTask time, 0
13028,ERROR,NavTask,NavigationTask time, 0
13075,ERROR,ControlTask,ControlTask time, 0
13078,ERROR,NavTask,NavigationTask time, 0
13125,ERROR,ControlTask,ControlTask time, 0
13128,ERROR,NavTask,NavigationTask time, 0
13175,ERROR,ControlTask,ControlTask time, 0
13178,ERROR,NavTask,NavigationTask time, 0
13225,ERROR,ControlTask,ControlTask time, 0
13228,ERROR,NavTask,NavigationTask time, 0
13275,ERROR,ControlTask,ControlTask time, 0
13278,ERROR,NavTask,NavigationTask time, 0
13325,ERROR,ControlTask,ControlTask time, 0
13328,ERROR,NavTask,NavigationTask time, 0
13375,ERROR,ControlTask,ControlTask time, 0
13378,ERROR,NavTask,NavigationTask time, 0
13425,ERROR,ControlTask,ControlTask time, 0
13428,ERROR,NavTask,NavigationTask time, 0
13475,ERROR,ControlTask,ControlTask time, 0
13478,ERROR,NavTask,NavigationTask time, 0
13538,ERROR,ControlTask,ControlTask time, 0
13539,ERROR,NavTask,NavigationTask time, 0
13576,ERROR,GNSSTask,pushRawData time, 64
13577,ERROR,GNSSTask,GNSS checkUblox time, 1
13578,ERROR,GNSSTask,GNSSTask time, 651
13579,ERROR,GNSSTask,GNSS checkUblox time, 1
13579,ERROR,GNSSTask,GNSSTask time, 1
13580,ERROR,GNSSTask,GNSS checkUblox time, 1
13580,ERROR,GNSSTask,GNSSTask time, 1
13581,ERROR,GNSSTask,GNSS checkUblox time, 1
13581,ERROR,GNSSTask,GNSSTask time, 1
13582,ERROR,GNSSTask,GNSS checkUblox time, 1
13583,ERROR,GNSSTask,GNSSTask time, 2
13584,ERROR,GNSSTask,GNSSTask time, 1
13585,ERROR,GNSSTask,GNSSTask time, 1
13586,ERROR,GNSSTask,GNSS checkUblox time, 1
