Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,219,0
Session 1,position-control latency time,NAV,11,320,54.97,29.0,219,12039
Session 1,ControlTask time,ERROR,1,109,42.29,46.0,218,9219
Session 1,NavigationTask time,ERROR,0,31,1.48,0.0,21,31
Session 1,GNSS checkUblox time,ERROR,1,102,14.34,2.0,192,2753
Session 1,GNSSTask time,ERROR,1,250,57.86,28.0,199,11514
Session 1,GNSS checkCallbacks time,ERROR,1,1,1.0,1.0,88,88
Session 1,GGATask time,ERROR,4,6,5.57,6.0,21,117
Session 1,pushRawData time,ERROR,18,73,23.27,20.0,22,512
