Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,GNSS checkCallbacks time,ERROR,1,1,1.0,1.0,431,431
Session 1,GNSS checkUblox time,ERROR,1,2,1.02,1.0,477,488
Session 1,GNSSTask time,ERROR,1,75,3.68,1.0,517,1903
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,517,0
Session 1,ControlTask time,ERROR,0,1,0.0,0.0,517,1
Session 1,NavigationTask time,ERROR,0,0,0.0,0.0,516,0
Session 1,pushRawData time,ERROR,19,74,22.3,21.0,54,1204
Session 1,GGATask time,ERROR,4,9,4.98,5.0,52,259
