Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,GNSS checkCallbacks time,ERROR,1,1,1.0,1.0,555,555
Session 1,GNSS checkUblox time,ERROR,1,233,6.92,1.0,1098,7601
Session 1,GNSSTask time,ERROR,0,351,25.02,2.0,1188,29723
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,1191,0
Session 1,ControlTask time,ERROR,0,97,16.03,0.0,1191,19088
Session 1,NavigationTask time,ERROR,0,80,0.16,0.0,959,158
Session 1,pushRawData time,ERROR,7,93,25.66,23.0,120,3079
Session 1,GGATask time,ERROR,3,7,4.84,5.0,115,557
Session 1,position-control latency time,NAV,11,431,63.4,35.0,415,26313
