Session,Operation,Level,Min (ms),Max (ms),Avg (ms),Median (ms),Count,Total Time (ms)
Session 1,GNSS checkCallbacks time,ERROR,1,1,1.0,1.0,176,176
Session 1,GNSS checkUblox time,ERROR,1,2,1.1,1.0,1169,1283
Session 1,GNSSTask time,ERROR,1,81,4.59,2.0,1192,5476
Session 1,ControlTask loop beginning,NAV,0,0,0.0,0.0,1192,0
Session 1,ControlTask time,ERROR,0,1,0.01,0.0,1192,6
Session 1,NavigationTask time,ERROR,0,0,0.0,0.0,1192,0
Session 1,pushRawData time,ERROR,20,77,24.64,23.0,128,3154
Session 1,GGATask time,ERROR,6,29,9.23,9.0,119,1098
